player;0;0
wall;-28;38;wooden_wall.txt
wall;-28;39;wooden_wall.txt
wall;-28;40;wooden_wall.txt
wall;-17;11;wooden_wall.txt
wall;-17;12;wooden_wall.txt
wall;-17;13;wooden_wall.txt
wall;-17;14;wooden_wall.txt
wall;-17;15;wooden_wall.txt
wall;-17;16;wooden_wall.txt
wall;-17;17;wooden_wall.txt
wall;-17;18;wooden_wall.txt
wall;-17;19;wooden_wall.txt
wall;-17;20;wooden_wall.txt
wall;-17;21;wooden_wall.txt
wall;-17;22;wooden_wall.txt
wall;-17;23;wooden_wall.txt
wall;-17;24;wooden_wall.txt
wall;-17;25;wooden_wall.txt
wall;-17;26;wooden_wall.txt
wall;-17;27;wooden_wall.txt
wall;-17;28;wooden_wall.txt
wall;-17;29;wooden_wall.txt
wall;-17;30;wooden_wall.txt
wall;-17;31;wooden_wall.txt
wall;-17;32;wooden_wall.txt
wall;-17;33;wooden_wall.txt
wall;-17;34;wooden_wall.txt
wall;-17;35;wooden_wall.txt
wall;-17;36;wooden_wall.txt
wall;-17;37;wooden_wall.txt
wall;-17;38;wooden_wall.txt
wall;-17;39;wooden_wall.txt
wall;-17;40;wooden_wall.txt
wall;-18;40;wooden_wall.txt
wall;-19;40;wooden_wall.txt
wall;-20;40;wooden_wall.txt
wall;-21;40;wooden_wall.txt
wall;-22;40;wooden_wall.txt
wall;-23;40;wooden_wall.txt
wall;-24;40;wooden_wall.txt
wall;-25;40;wooden_wall.txt
wall;-26;40;wooden_wall.txt
wall;-27;40;wooden_wall.txt
wall;-28;40;wooden_wall.txt




















